algorytm,reprezentacja,rozmiar,gestosc,powtorzenie,czas(ms),koszt
BellmanFord,List,400,0.5,13,73.723,4957
Prim,Matrix,400,0.5,14,36.913,508
Prim,List,400,0.5,14,3.058,477
Kruskal,Matrix,400,0.5,14,2.551,508
Kruskal,List,400,0.5,14,3.908,477
Dijkstra,Matrix,400,0.5,14,61.779,2020
Dijkstra,List,400,0.5,14,4.358,2275
BellmanFord,Matrix,400,0.5,14,73.221,2020
BellmanFord,List,400,0.5,14,74.996,2275
Prim,Matrix,400,0.5,15,37.176,496
Prim,List,400,0.5,15,3.574,505
Kruskal,Matrix,400,0.5,15,2.575,496
Kruskal,List,400,0.5,15,3.99,505
Dijkstra,Matrix,400,0.5,15,62.385,3068
Dijkstra,List,400,0.5,15,4.958,4396
BellmanFord,Matrix,400,0.5,15,72.832,3068
BellmanFord,List,400,0.5,15,75.436,4396
Prim,Matrix,400,0.5,16,37.307,492
Prim,List,400,0.5,16,4.525,494
Kruskal,Matrix,400,0.5,16,2.555,492
Kruskal,List,400,0.5,16,3.925,494
Dijkstra,Matrix,400,0.5,16,62.411,3180
Dijkstra,List,400,0.5,16,4.838,4976
BellmanFord,Matrix,400,0.5,16,73.068,3180
BellmanFord,List,400,0.5,16,75.88,4976
Prim,Matrix,400,0.5,17,37.398,473
Prim,List,400,0.5,17,4.412,500
Kruskal,Matrix,400,0.5,17,2.68,473
Kruskal,List,400,0.5,17,3.964,500
Dijkstra,Matrix,400,0.5,17,64.194,1974
Dijkstra,List,400,0.5,17,3.964,1920
BellmanFord,Matrix,400,0.5,17,73.316,1974
BellmanFord,List,400,0.5,17,75.034,1920
Prim,Matrix,400,0.5,18,38.035,511
Prim,List,400,0.5,18,5.154,491
Kruskal,Matrix,400,0.5,18,2.511,511
Kruskal,List,400,0.5,18,4.235,491
Dijkstra,Matrix,400,0.5,18,63.201,1926
Dijkstra,List,400,0.5,18,4.858,1936
BellmanFord,Matrix,400,0.5,18,74.1,1926
BellmanFord,List,400,0.5,18,85.628,1936
Prim,Matrix,400,0.5,19,45.322,496
Prim,List,400,0.5,19,5.713,503
Kruskal,Matrix,400,0.5,19,2.819,496
Kruskal,List,400,0.5,19,5.008,503
Dijkstra,Matrix,400,0.5,19,66.725,2084
Dijkstra,List,400,0.5,19,9.676,3214
BellmanFord,Matrix,400,0.5,19,82.734,2084
BellmanFord,List,400,0.5,19,80.045,3214
Prim,Matrix,400,0.5,20,41.149,502
Prim,List,400,0.5,20,6.481,480
Kruskal,Matrix,400,0.5,20,2.626,502
Kruskal,List,400,0.5,20,4.792,480
Dijkstra,Matrix,400,0.5,20,65.263,2043
Dijkstra,List,400,0.5,20,5.219,2064
BellmanFord,Matrix,400,0.5,20,76.886,2043
BellmanFord,List,400,0.5,20,75.318,2064
Prim,Matrix,400,0.5,21,39.548,514
Prim,List,400,0.5,21,5.701,496
Kruskal,Matrix,400,0.5,21,2.877,514
Kruskal,List,400,0.5,21,4.948,496
Dijkstra,Matrix,400,0.5,21,66.288,2617
Dijkstra,List,400,0.5,21,4.9,2853
BellmanFord,Matrix,400,0.5,21,77.224,2617
BellmanFord,List,400,0.5,21,79.792,2853
Prim,Matrix,400,0.5,22,38.251,505
Prim,List,400,0.5,22,5.693,501
Kruskal,Matrix,400,0.5,22,2.588,505
Kruskal,List,400,0.5,22,4.063,501
Dijkstra,Matrix,400,0.5,22,63.947,1807
Dijkstra,List,400,0.5,22,4.789,1701
BellmanFord,Matrix,400,0.5,22,74.847,1807
BellmanFord,List,400,0.5,22,76.613,1701
Prim,Matrix,400,0.5,23,37.756,493
Prim,List,400,0.5,23,5.39,504
Kruskal,Matrix,400,0.5,23,2.622,493
Kruskal,List,400,0.5,23,4.67,504
Dijkstra,Matrix,400,0.5,23,76.931,3170
Dijkstra,List,400,0.5,23,4.976,3982
BellmanFord,Matrix,400,0.5,23,78.856,3170
BellmanFord,List,400,0.5,23,82.343,3982
Prim,Matrix,400,0.5,24,38.844,517
Prim,List,400,0.5,24,5.416,475
Kruskal,Matrix,400,0.5,24,2.647,517
Kruskal,List,400,0.5,24,4.57,475
Dijkstra,Matrix,400,0.5,24,65.159,2200
Dijkstra,List,400,0.5,24,4.768,2646
BellmanFord,Matrix,400,0.5,24,73.957,2200
BellmanFord,List,400,0.5,24,77.288,2646
Prim,Matrix,400,0.5,25,38.283,480
Prim,List,400,0.5,25,5.965,498
Kruskal,Matrix,400,0.5,25,2.632,480
Kruskal,List,400,0.5,25,4.418,498
Dijkstra,Matrix,400,0.5,25,63.799,3722
Dijkstra,List,400,0.5,25,5.195,4085
BellmanFord,Matrix,400,0.5,25,74.39,3722
BellmanFord,List,400,0.5,25,75.924,4085
Prim,Matrix,400,0.5,26,37.649,520
Prim,List,400,0.5,26,5.666,485
Kruskal,Matrix,400,0.5,26,2.672,520
Kruskal,List,400,0.5,26,4.236,485
Dijkstra,Matrix,400,0.5,26,64.363,3177
Dijkstra,List,400,0.5,26,4.898,2932
BellmanFord,Matrix,400,0.5,26,74.494,3177
BellmanFord,List,400,0.5,26,76.886,2932
Prim,Matrix,400,0.5,27,37.469,492
Prim,List,400,0.5,27,4.451,497
Kruskal,Matrix,400,0.5,27,2.587,492
Kruskal,List,400,0.5,27,4.953,497
Dijkstra,Matrix,400,0.5,27,67.588,3265
Dijkstra,List,400,0.5,27,5.074,2904
BellmanFord,Matrix,400,0.5,27,78.444,3265
BellmanFord,List,400,0.5,27,80.781,2904
Prim,Matrix,400,0.5,28,40.466,501
Prim,List,400,0.5,28,5.453,487
Kruskal,Matrix,400,0.5,28,2.874,501
Kruskal,List,400,0.5,28,4.376,487
Dijkstra,Matrix,400,0.5,28,68.663,2309
Dijkstra,List,400,0.5,28,4.9,1982
BellmanFord,Matrix,400,0.5,28,79.46,2309
BellmanFord,List,400,0.5,28,81.482,1982
Prim,Matrix,400,0.5,29,38.843,482
Prim,List,400,0.5,29,5.735,481
Kruskal,Matrix,400,0.5,29,2.648,482
Kruskal,List,400,0.5,29,4.299,481
Dijkstra,Matrix,400,0.5,29,64.684,1874
Dijkstra,List,400,0.5,29,4.574,1864
BellmanFord,Matrix,400,0.5,29,77.574,1874
BellmanFord,List,400,0.5,29,86.85,1864
Prim,Matrix,400,0.5,30,38.152,490
Prim,List,400,0.5,30,5.561,467
Kruskal,Matrix,400,0.5,30,2.534,490
Kruskal,List,400,0.5,30,5.327,467
Dijkstra,Matrix,400,0.5,30,64.301,4270
Dijkstra,List,400,0.5,30,5.895,2848
BellmanFord,Matrix,400,0.5,30,74.839,4270
BellmanFord,List,400,0.5,30,76.279,2848
Prim,Matrix,400,0.5,31,38.545,502
Prim,List,400,0.5,31,5.554,499
Kruskal,Matrix,400,0.5,31,2.713,502
Kruskal,List,400,0.5,31,4.582,499
Dijkstra,Matrix,400,0.5,31,66.667,1997
Dijkstra,List,400,0.5,31,5.304,2574
BellmanFord,Matrix,400,0.5,31,78.198,1997
BellmanFord,List,400,0.5,31,79.146,2574
Prim,Matrix,400,0.5,32,40.337,479
Prim,List,400,0.5,32,5.797,469
Kruskal,Matrix,400,0.5,32,2.862,479
Kruskal,List,400,0.5,32,6.385,469
Dijkstra,Matrix,400,0.5,32,66.229,3296
Dijkstra,List,400,0.5,32,4.684,3627
BellmanFord,Matrix,400,0.5,32,74.392,3296
BellmanFord,List,400,0.5,32,76.159,3627
Prim,Matrix,400,0.5,33,37.44,470
Prim,List,400,0.5,33,6.08,484
Kruskal,Matrix,400,0.5,33,2.486,470
Kruskal,List,400,0.5,33,4.283,484
Dijkstra,Matrix,400,0.5,33,64.726,3701
Dijkstra,List,400,0.5,33,4.474,2163
BellmanFord,Matrix,400,0.5,33,74.631,3701
BellmanFord,List,400,0.5,33,88.806,2163
Prim,Matrix,400,0.5,34,40.198,480
Prim,List,400,0.5,34,5.38,496
Kruskal,Matrix,400,0.5,34,2.842,480
Kruskal,List,400,0.5,34,4.854,496
Dijkstra,Matrix,400,0.5,34,63.188,4064
Dijkstra,List,400,0.5,34,5.168,3839
BellmanFord,Matrix,400,0.5,34,73.944,4064
BellmanFord,List,400,0.5,34,76.417,3839
Prim,Matrix,400,0.5,35,37.759,506
Prim,List,400,0.5,35,5.145,503
Kruskal,Matrix,400,0.5,35,2.591,506
Kruskal,List,400,0.5,35,4.09,503
Dijkstra,Matrix,400,0.5,35,63.266,2903
Dijkstra,List,400,0.5,35,4.479,2063
BellmanFord,Matrix,400,0.5,35,73.887,2903
BellmanFord,List,400,0.5,35,75.855,2063
Prim,Matrix,400,0.5,36,37.308,491
Prim,List,400,0.5,36,6.355,507
Kruskal,Matrix,400,0.5,36,2.541,491
Kruskal,List,400,0.5,36,5.455,507
Dijkstra,Matrix,400,0.5,36,65.864,2032
Dijkstra,List,400,0.5,36,4.921,1735
BellmanFord,Matrix,400,0.5,36,76.645,2032
BellmanFord,List,400,0.5,36,78.588,1735
Prim,Matrix,400,0.5,37,37.283,506
Prim,List,400,0.5,37,5.501,494
Kruskal,Matrix,400,0.5,37,2.791,506
Kruskal,List,400,0.5,37,4.58,494
Dijkstra,Matrix,400,0.5,37,62.119,2074
Dijkstra,List,400,0.5,37,5.233,2349
BellmanFord,Matrix,400,0.5,37,72.768,2074
BellmanFord,List,400,0.5,37,75.602,2349
Prim,Matrix,400,0.5,38,39.837,515
Prim,List,400,0.5,38,6.85,527
Kruskal,Matrix,400,0.5,38,2.765,515
Kruskal,List,400,0.5,38,4.287,527
Dijkstra,Matrix,400,0.5,38,67.9,2546
Dijkstra,List,400,0.5,38,5.413,4085
BellmanFord,Matrix,400,0.5,38,72.492,2546
BellmanFord,List,400,0.5,38,75.977,4085
Prim,Matrix,400,0.5,39,37.346,486
Prim,List,400,0.5,39,5.702,482
Kruskal,Matrix,400,0.5,39,2.558,486
Kruskal,List,400,0.5,39,4.165,482
Dijkstra,Matrix,400,0.5,39,63.271,2746
Dijkstra,List,400,0.5,39,5.148,2424
BellmanFord,Matrix,400,0.5,39,72.55,2746
BellmanFord,List,400,0.5,39,76.265,2424
Prim,Matrix,400,0.5,40,37.725,489
Prim,List,400,0.5,40,5.204,492
Kruskal,Matrix,400,0.5,40,2.649,489
Kruskal,List,400,0.5,40,4.328,492
Dijkstra,Matrix,400,0.5,40,62.631,2139
Dijkstra,List,400,0.5,40,4.904,1921
BellmanFord,Matrix,400,0.5,40,73.008,2139
BellmanFord,List,400,0.5,40,75.459,1921
Prim,Matrix,400,0.5,41,38.899,487
Prim,List,400,0.5,41,5.892,478
Kruskal,Matrix,400,0.5,41,2.545,487
Kruskal,List,400,0.5,41,4.817,478
Dijkstra,Matrix,400,0.5,41,63.917,3974
Dijkstra,List,400,0.5,41,4.602,7837
BellmanFord,Matrix,400,0.5,41,72.854,3974
BellmanFord,List,400,0.5,41,76.005,7837
Prim,Matrix,400,0.5,42,37.544,480
Prim,List,400,0.5,42,6.278,488
Kruskal,Matrix,400,0.5,42,2.746,480
Kruskal,List,400,0.5,42,4.345,488
Dijkstra,Matrix,400,0.5,42,63.002,2779
Dijkstra,List,400,0.5,42,4.489,3417
BellmanFord,Matrix,400,0.5,42,73.426,2779
BellmanFord,List,400,0.5,42,75.929,3417
Prim,Matrix,400,0.5,43,37.709,485
Prim,List,400,0.5,43,5.596,490
Kruskal,Matrix,400,0.5,43,2.583,485
Kruskal,List,400,0.5,43,4.296,490
Dijkstra,Matrix,400,0.5,43,62.892,3298
Dijkstra,List,400,0.5,43,4.487,2299
BellmanFord,Matrix,400,0.5,43,72.741,3298
BellmanFord,List,400,0.5,43,75.686,2299
Prim,Matrix,400,0.5,44,37.302,489
Prim,List,400,0.5,44,5.139,494
Kruskal,Matrix,400,0.5,44,2.549,489
Kruskal,List,400,0.5,44,4.234,494
Dijkstra,Matrix,400,0.5,44,62.95,2582
Dijkstra,List,400,0.5,44,4.613,2581
BellmanFord,Matrix,400,0.5,44,72.262,2582
BellmanFord,List,400,0.5,44,76.76,2581
Prim,Matrix,400,0.5,45,40.073,483
Prim,List,400,0.5,45,5.249,482
Kruskal,Matrix,400,0.5,45,2.67,483
Kruskal,List,400,0.5,45,4.66,482
Dijkstra,Matrix,400,0.5,45,62.52,1988
Dijkstra,List,400,0.5,45,4.746,2176
BellmanFord,Matrix,400,0.5,45,72.68,1988
BellmanFord,List,400,0.5,45,74.86,2176
Prim,Matrix,400,0.5,46,41.785,495
Prim,List,400,0.5,46,5.596,478
Kruskal,Matrix,400,0.5,46,2.702,495
Kruskal,List,400,0.5,46,4.708,478
Dijkstra,Matrix,400,0.5,46,67.448,2524
Dijkstra,List,400,0.5,46,5.199,3214
BellmanFord,Matrix,400,0.5,46,84.336,2524
BellmanFord,List,400,0.5,46,78.843,3214
Prim,Matrix,400,0.5,47,36.846,485
Prim,List,400,0.5,47,3.341,497
Kruskal,Matrix,400,0.5,47,2.847,485
Kruskal,List,400,0.5,47,3.839,497
Dijkstra,Matrix,400,0.5,47,61.68,2093
Dijkstra,List,400,0.5,47,3.988,2061
BellmanFord,Matrix,400,0.5,47,85.63,2093
BellmanFord,List,400,0.5,47,78.401,2061
Prim,Matrix,400,0.5,48,38.015,476
Prim,List,400,0.5,48,4.494,491
Kruskal,Matrix,400,0.5,48,2.55,476
Kruskal,List,400,0.5,48,4.192,491
Dijkstra,Matrix,400,0.5,48,75.544,2290
Dijkstra,List,400,0.5,48,4.149,2475
BellmanFord,Matrix,400,0.5,48,72.399,2290
BellmanFord,List,400,0.5,48,75.589,2475
Prim,Matrix,400,0.5,49,40.237,497
Prim,List,400,0.5,49,6.192,516
Kruskal,Matrix,400,0.5,49,2.721,497
Kruskal,List,400,0.5,49,4.777,516
Dijkstra,Matrix,400,0.5,49,65.45,2136
Dijkstra,List,400,0.5,49,4.528,2236
BellmanFord,Matrix,400,0.5,49,72.564,2136
BellmanFord,List,400,0.5,49,75.774,2236
Prim,Matrix,400,0.99,0,74.479,406
Prim,List,400,0.99,0,9.599,407
Kruskal,Matrix,400,0.99,0,5.447,406
Kruskal,List,400,0.99,0,8.851,407
Dijkstra,Matrix,400,0.99,0,122.349,1657
Dijkstra,List,400,0.99,0,8.495,1593
BellmanFord,Matrix,400,0.99,0,145.321,1657
BellmanFord,List,400,0.99,0,148.43,1593
Prim,Matrix,400,0.99,1,72.334,409
Prim,List,400,0.99,1,8.309,408
Kruskal,Matrix,400,0.99,1,5.21,409
Kruskal,List,400,0.99,1,7.962,408
Dijkstra,Matrix,400,0.99,1,123.753,1719
Dijkstra,List,400,0.99,1,9.972,1729
BellmanFord,Matrix,400,0.99,1,144.129,1719
BellmanFord,List,400,0.99,1,148.237,1729
Prim,Matrix,400,0.99,2,72.102,411
Prim,List,400,0.99,2,8.252,404
Kruskal,Matrix,400,0.99,2,5.7,411
Kruskal,List,400,0.99,2,8.184,404
Dijkstra,Matrix,400,0.99,2,122.731,1556
Dijkstra,List,400,0.99,2,7.574,1504
BellmanFord,Matrix,400,0.99,2,148.393,1556
BellmanFord,List,400,0.99,2,150.016,1504
Prim,Matrix,400,0.99,3,72.185,408
Prim,List,400,0.99,3,8.252,406
Kruskal,Matrix,400,0.99,3,5.179,408
Kruskal,List,400,0.99,3,7.816,406
Dijkstra,Matrix,400,0.99,3,125.572,1615
Dijkstra,List,400,0.99,3,7.888,1752
BellmanFord,Matrix,400,0.99,3,147.041,1615
BellmanFord,List,400,0.99,3,154.42,1752
Prim,Matrix,400,0.99,4,78.973,403
Prim,List,400,0.99,4,9.707,410
Kruskal,Matrix,400,0.99,4,5.388,403
Kruskal,List,400,0.99,4,8.507,410
Dijkstra,Matrix,400,0.99,4,123.445,1527
Dijkstra,List,400,0.99,4,8.15,1843
BellmanFord,Matrix,400,0.99,4,145.043,1527
BellmanFord,List,400,0.99,4,148.6,1843
Prim,Matrix,400,0.99,5,73.308,400
Prim,List,400,0.99,5,7.891,409
Kruskal,Matrix,400,0.99,5,5.237,400
Kruskal,List,400,0.99,5,7.926,409
Dijkstra,Matrix,400,0.99,5,130.314,1680
Dijkstra,List,400,0.99,5,8.652,1514
BellmanFord,Matrix,400,0.99,5,145.073,1680
BellmanFord,List,400,0.99,5,150.22,1514
Prim,Matrix,400,0.99,6,73.886,405
Prim,List,400,0.99,6,8.336,403
Kruskal,Matrix,400,0.99,6,5.321,405
Kruskal,List,400,0.99,6,8.525,403
Dijkstra,Matrix,400,0.99,6,123.012,1710
Dijkstra,List,400,0.99,6,9.773,1686
BellmanFord,Matrix,400,0.99,6,145.488,1710
BellmanFord,List,400,0.99,6,156.038,1686
Prim,Matrix,400,0.99,7,80.714,406
Prim,List,400,0.99,7,12.475,407
Kruskal,Matrix,400,0.99,7,5.613,406
Kruskal,List,400,0.99,7,16.201,407
Dijkstra,Matrix,400,0.99,7,130.715,1593
Dijkstra,List,400,0.99,7,12.204,1625
BellmanFord,Matrix,400,0.99,7,154.754,1593
BellmanFord,List,400,0.99,7,160.718,1625
Prim,Matrix,400,0.99,8,78.357,406
Prim,List,400,0.99,8,11.353,411
Kruskal,Matrix,400,0.99,8,5.678,406
Kruskal,List,400,0.99,8,10.525,411
Dijkstra,Matrix,400,0.99,8,126.667,1604
Dijkstra,List,400,0.99,8,12.338,1541
BellmanFord,Matrix,400,0.99,8,167.238,1604
BellmanFord,List,400,0.99,8,155.542,1541
Prim,Matrix,400,0.99,9,78.082,408
Prim,List,400,0.99,9,13.08,406
Kruskal,Matrix,400,0.99,9,5.754,408
Kruskal,List,400,0.99,9,11.684,406
Dijkstra,Matrix,400,0.99,9,133.466,1564
Dijkstra,List,400,0.99,9,11.217,1857
BellmanFord,Matrix,400,0.99,9,144.417,1564
BellmanFord,List,400,0.99,9,154.56,1857
Prim,Matrix,400,0.99,10,80.19,410
Prim,List,400,0.99,10,13.718,400
Kruskal,Matrix,400,0.99,10,5.692,410
Kruskal,List,400,0.99,10,11.838,400
Dijkstra,Matrix,400,0.99,10,135.379,1527
Dijkstra,List,400,0.99,10,12.893,1687
BellmanFord,Matrix,400,0.99,10,153.936,1527
BellmanFord,List,400,0.99,10,160.604,1687
Prim,Matrix,400,0.99,11,73.52,410
Prim,List,400,0.99,11,11.709,410
Kruskal,Matrix,400,0.99,11,5.226,410
Kruskal,List,400,0.99,11,11.074,410
Dijkstra,Matrix,400,0.99,11,127.896,1690
Dijkstra,List,400,0.99,11,10.133,1537
BellmanFord,Matrix,400,0.99,11,146.792,1690
BellmanFord,List,400,0.99,11,160.723,1537
Prim,Matrix,400,0.99,12,77.288,415
Prim,List,400,0.99,12,10.008,407
Kruskal,Matrix,400,0.99,12,5.245,415
Kruskal,List,400,0.99,12,8.378,407
Dijkstra,Matrix,400,0.99,12,123.124,1600
Dijkstra,List,400,0.99,12,8.838,1744
BellmanFord,Matrix,400,0.99,12,144.875,1600
BellmanFord,List,400,0.99,12,153.179,1744
Prim,Matrix,400,0.99,13,75.008,404
Prim,List,400,0.99,13,10.089,403
Kruskal,Matrix,400,0.99,13,5.317,404
Kruskal,List,400,0.99,13,8.934,403
Dijkstra,Matrix,400,0.99,13,123.949,1618
Dijkstra,List,400,0.99,13,9.352,1490
BellmanFord,Matrix,400,0.99,13,143.899,1618
BellmanFord,List,400,0.99,13,152.092,1490
Prim,Matrix,400,0.99,14,75.767,404
Prim,List,400,0.99,14,8.264,416
Kruskal,Matrix,400,0.99,14,5.439,404
Kruskal,List,400,0.99,14,7.806,416
Dijkstra,Matrix,400,0.99,14,127.364,1784
Dijkstra,List,400,0.99,14,10.866,1506
BellmanFord,Matrix,400,0.99,14,148.226,1784
BellmanFord,List,400,0.99,14,152.753,1506
Prim,Matrix,400,0.99,15,74.971,408
Prim,List,400,0.99,15,8.197,411
Kruskal,Matrix,400,0.99,15,5.128,408
Kruskal,List,400,0.99,15,7.788,411
Dijkstra,Matrix,400,0.99,15,123.536,1439
Dijkstra,List,400,0.99,15,7.889,1714
BellmanFord,Matrix,400,0.99,15,164.442,1439
BellmanFord,List,400,0.99,15,157.056,1714
Prim,Matrix,400,0.99,16,76.075,406
Prim,List,400,0.99,16,8.474,411
Kruskal,Matrix,400,0.99,16,5.24,406
Kruskal,List,400,0.99,16,8.215,411
Dijkstra,Matrix,400,0.99,16,123.717,1666
Dijkstra,List,400,0.99,16,8.587,1591
BellmanFord,Matrix,400,0.99,16,143.589,1666
BellmanFord,List,400,0.99,16,148.281,1591
Prim,Matrix,400,0.99,17,72.647,406
Prim,List,400,0.99,17,8.693,406
Kruskal,Matrix,400,0.99,17,5.297,406
Kruskal,List,400,0.99,17,8.007,406
Dijkstra,Matrix,400,0.99,17,124.279,1684
Dijkstra,List,400,0.99,17,8.385,1504
BellmanFord,Matrix,400,0.99,17,144.26,1684
BellmanFord,List,400,0.99,17,149.42,1504
Prim,Matrix,400,0.99,18,72.082,405
Prim,List,400,0.99,18,8.298,408
Kruskal,Matrix,400,0.99,18,5.172,405
Kruskal,List,400,0.99,18,8.012,408
Dijkstra,Matrix,400,0.99,18,155.556,1810
Dijkstra,List,400,0.99,18,8.327,1481
BellmanFord,Matrix,400,0.99,18,144.452,1810
BellmanFord,List,400,0.99,18,149.071,1481
Prim,Matrix,400,0.99,19,72.327,408
Prim,List,400,0.99,19,8.971,405
Kruskal,Matrix,400,0.99,19,5.229,408
Kruskal,List,400,0.99,19,7.837,405
Dijkstra,Matrix,400,0.99,19,125.076,1716
Dijkstra,List,400,0.99,19,9.209,1758
BellmanFord,Matrix,400,0.99,19,145.869,1716
BellmanFord,List,400,0.99,19,150.728,1758
Prim,Matrix,400,0.99,20,74.398,414
Prim,List,400,0.99,20,8.821,411
Kruskal,Matrix,400,0.99,20,5.25,414
Kruskal,List,400,0.99,20,7.97,411
Dijkstra,Matrix,400,0.99,20,124.534,1734
Dijkstra,List,400,0.99,20,8.754,1692
BellmanFord,Matrix,400,0.99,20,147.196,1734
BellmanFord,List,400,0.99,20,151.427,1692
Prim,Matrix,400,0.99,21,73.935,410
Prim,List,400,0.99,21,7.564,403
Kruskal,Matrix,400,0.99,21,5.609,410
Kruskal,List,400,0.99,21,8.3,403
Dijkstra,Matrix,400,0.99,21,124.945,1642
Dijkstra,List,400,0.99,21,8.034,1571
BellmanFord,Matrix,400,0.99,21,147.739,1642
BellmanFord,List,400,0.99,21,152.466,1571
Prim,Matrix,400,0.99,22,73.614,403
Prim,List,400,0.99,22,9.277,407
Kruskal,Matrix,400,0.99,22,5.357,403
Kruskal,List,400,0.99,22,8.796,407
Dijkstra,Matrix,400,0.99,22,124.597,1505
Dijkstra,List,400,0.99,22,9.123,1495
BellmanFord,Matrix,400,0.99,22,147.224,1505
BellmanFord,List,400,0.99,22,150.917,1495
Prim,Matrix,400,0.99,23,72.857,405
Prim,List,400,0.99,23,8.323,409
Kruskal,Matrix,400,0.99,23,5.545,405
Kruskal,List,400,0.99,23,7.883,409
Dijkstra,Matrix,400,0.99,23,124.366,1607
Dijkstra,List,400,0.99,23,9.969,1646
BellmanFord,Matrix,400,0.99,23,144.488,1607
BellmanFord,List,400,0.99,23,149.354,1646
Prim,Matrix,400,0.99,24,74.201,404
Prim,List,400,0.99,24,8.233,404
Kruskal,Matrix,400,0.99,24,5.237,404
Kruskal,List,400,0.99,24,7.831,404
Dijkstra,Matrix,400,0.99,24,122.992,1799
Dijkstra,List,400,0.99,24,8.473,1337
BellmanFord,Matrix,400,0.99,24,144.548,1799
BellmanFord,List,400,0.99,24,152.06,1337
Prim,Matrix,400,0.99,25,72.581,407
Prim,List,400,0.99,25,8.745,407
Kruskal,Matrix,400,0.99,25,5.439,407
Kruskal,List,400,0.99,25,8.198,407
Dijkstra,Matrix,400,0.99,25,122.199,1734
Dijkstra,List,400,0.99,25,8.039,1655
BellmanFord,Matrix,400,0.99,25,144.503,1734
BellmanFord,List,400,0.99,25,148.723,1655
Prim,Matrix,400,0.99,26,73.866,410
Prim,List,400,0.99,26,8.628,405
Kruskal,Matrix,400,0.99,26,5.17,410
Kruskal,List,400,0.99,26,7.875,405
Dijkstra,Matrix,400,0.99,26,123.461,1461
Dijkstra,List,400,0.99,26,8.623,1546
BellmanFord,Matrix,400,0.99,26,144.11,1461
BellmanFord,List,400,0.99,26,148.634,1546
Prim,Matrix,400,0.99,27,72.527,405
Prim,List,400,0.99,27,8.473,406
Kruskal,Matrix,400,0.99,27,5.29,405
Kruskal,List,400,0.99,27,8.268,406
Dijkstra,Matrix,400,0.99,27,123.005,1586
Dijkstra,List,400,0.99,27,7.92,1555
BellmanFord,Matrix,400,0.99,27,143.925,1586
BellmanFord,List,400,0.99,27,150.324,1555
